income_stability,rent_on_time,age,monthly_income,existing_loans_count,dependents,credit_score
Stable,Yes,52,91295,0,2,847
Unstable,No,59,31111,1,3,395
Stable,No,52,57504,1,0,489
Stable,No,24,21802,2,1,336
Stable,No,50,28155,1,1,668
Unstable,No,57,93656,1,0,824
Stable,No,43,59384,2,2,578
Stable,No,59,67254,1,1,516
Stable,No,35,41918,1,1,572
Unstable,Yes,63,80713,1,1,361
Stable,No,49,50306,0,0,895
Stable,Yes,56,36646,0,3,641
Stable,No,33,66843,0,1,696
Stable,No,52,36371,2,3,318
Unstable,Yes,27,97371,4,2,476
Stable,No,42,22049,1,1,695
Unstable,Yes,48,51616,1,1,744
Unstable,No,22,40932,2,2,532
Unstable,No,62,49855,1,1,375
Stable,Yes,26,81434,0,3,564
Unstable,No,48,92694,4,0,754
Stable,Yes,48,63016,3,3,683
Unstable,No,64,27400,1,0,863
Unstable,Yes,64,62642,0,0,805
Unstable,Yes,40,35151,3,3,666
Unstable,No,50,71407,4,3,443
Unstable,No,31,86690,3,3,368
Unstable,Yes,48,24499,0,3,398
Unstable,No,45,26295,3,2,695
Unstable,No,59,79040,2,1,324
Stable,No,53,32183,3,0,768
Stable,Yes,21,49299,1,3,783
Unstable,Yes,47,32874,1,3,864
Unstable,Yes,33,52711,2,3,450
Unstable,Yes,61,25539,0,2,443
Stable,Yes,23,73351,1,3,868
Unstable,Yes,59,81267,4,3,338
Stable,Yes,26,68354,1,3,408
Stable,Yes,28,22557,1,1,341
Stable,Yes,47,58360,0,2,485
Stable,No,29,22200,3,3,697
Stable,Yes,57,88497,1,0,522
Unstable,No,53,66975,2,0,432
Unstable,No,62,41357,3,0,462
Unstable,No,64,97505,4,2,514
Unstable,Yes,44,22869,0,2,534
Unstable,Yes,35,81135,4,0,887
Stable,Yes,52,70108,3,3,308
Unstable,Yes,52,58467,3,2,373
Unstable,No,44,43328,3,0,791
Stable,Yes,61,23987,4,0,552
Unstable,Yes,32,78871,3,3,529
Stable,Yes,59,42399,4,1,818
Unstable,Yes,22,66214,3,2,473
Stable,Yes,23,90271,2,3,467
Unstable,No,57,64064,3,0,469
Unstable,Yes,37,90091,4,0,692
Stable,No,22,60818,1,3,493
Stable,Yes,22,65525,3,2,816
Stable,No,48,39830,1,1,328
Stable,Yes,43,37429,2,1,464
Stable,Yes,57,26893,0,0,721
Stable,No,52,99909,2,2,638
Stable,No,53,67333,3,1,795
Stable,No,21,23436,1,2,664
Unstable,Yes,39,94290,1,2,641
Unstable,No,22,96213,4,0,799
Stable,Yes,64,25895,1,1,810
Unstable,Yes,46,39738,4,3,626
Unstable,No,52,50746,0,0,516
Unstable,No,26,69377,3,1,600
Unstable,Yes,52,68404,4,1,431
Stable,Yes,24,74045,0,1,369
Unstable,No,31,59790,1,1,551
Stable,No,37,25600,1,1,714
Unstable,No,58,60764,0,2,744
Unstable,Yes,44,94543,1,0,481
Unstable,Yes,25,65714,0,2,466
Stable,Yes,54,76835,4,3,390
Unstable,Yes,26,93744,4,1,830
Stable,Yes,42,76491,0,0,338
Unstable,Yes,31,38589,4,1,425
Stable,No,36,63484,4,0,750
Unstable,Yes,53,56212,4,2,472
Stable,Yes,29,63525,2,0,519
Stable,Yes,26,67202,3,3,357
Unstable,No,36,52635,1,3,775
Stable,Yes,49,83208,2,0,755
Unstable,Yes,23,53828,4,0,660
Unstable,No,40,38711,0,0,300
Unstable,Yes,56,23420,4,0,686
Unstable,Yes,39,20301,3,3,647
Unstable,Yes,46,65236,4,1,489
Unstable,Yes,23,86235,0,0,804
Unstable,Yes,39,74240,3,0,490
Unstable,No,40,85726,4,3,807
Unstable,No,52,30492,3,3,668
Unstable,No,27,26102,1,2,708
Unstable,Yes,61,70336,1,0,416
Stable,Yes,53,46641,4,2,433
